Pakrat v0.95 - by Rof (rof@mellish.org.uk)
Listing pak files from /home/insserver/serverfiles/insurgency/maps/doi_landfall.bsp
Pak file at offset 30262120, length 31944958 bytes
Pak lump entries: 2965
materials/maps/doi_landfall/maps/terrain/rubble001_blend_wvt_patch.vmt   (Material,  217 bytes)
materials/maps/doi_landfall/maps/terrain/blend_so_mog_sand_01_wvt_patch.vmt   (Material,  196 bytes)
materials/maps/doi_landfall/terrain/fr_blend_mud_grasswild_01_wvt_patch.vmt   (Material,  211 bytes)
materials/maps/doi_landfall/maps/terrain/blend_rubble02_tiles03_ir_wvt_patch.vmt   (Material,  270 bytes)
materials/maps/doi_landfall/maps/terrain/blend_so_sandwet_sand02_wvt_patch.vmt   (Material,  269 bytes)
materials/maps/doi_landfall/maps/verticality/blends/blend_vert_concrete_01_wvt_patch.vmt   (Material,  185 bytes)
materials/maps/doi_landfall/maps/terrain/blend_sand_pool_tile_ir_wvt_patch.vmt   (Material,  464 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel003_683_8705_80.vmt   (Material,  136 bytes)
materials/maps/doi_landfall/maps/door/garagedoor01a_862_11239_80.vmt   (Material,  136 bytes)
materials/maps/doi_landfall/maps/door/garagedoor01a_-2001_13377_0.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/door/garagedoor01a_1212_11181_80.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-1056_12097_196.vmt   (Material,  141 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-725_12150_72.vmt   (Material,  139 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-1011_12582_142.vmt   (Material,  141 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-892_11513_191.vmt   (Material,  140 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-644_11627_72.vmt   (Material,  139 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-1047_11651_85.vmt   (Material,  140 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008b_75_3242_69.vmt   (Material,  136 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008b_688_2695_211.vmt   (Material,  138 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008b_310_3628_81.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel003_-151_8625_80.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel003_-508_9570_80.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-235_9165_193.vmt   (Material,  139 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-131_9720_80.vmt   (Material,  138 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_344_10787_91.vmt   (Material,  138 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_269_9714_80.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_711_9683_80.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_519_9143_193.vmt   (Material,  138 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_222_9242_80.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_150_9494_80.vmt   (Material,  137 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-2777_11990_-6.vmt   (Material,  140 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel008a_-508_9570_80.vmt   (Material,  138 bytes)
materials/maps/doi_landfall/maps/metal/metalpanel003_269_9714_80.vmt   (Material,  136 bytes)
