Pakrat v0.95 - by Rof (rof@mellish.org.uk)
Listing pak files from /home/insserver/serverfiles/insurgency/maps/peak.bsp
Pak file at offset 33488392, length 15330059 bytes
Pak lump entries: 1551
materials/maps/peak/maps/terrain/blend_peak_grass_rock_wvt_patch.vmt   (Material,  219 bytes)
materials/maps/peak/maps/afghanistan/afg_blendwall_06_snow_wvt_patch.vmt   (Material,  162 bytes)
materials/maps/peak/maps/afghanistan/afg_blendwall_01b_wvt_patch.vmt   (Material,  166 bytes)
materials/maps/peak/maps/afghanistan/afg_blendwall_07_wvt_patch.vmt   (Material,  143 bytes)
materials/maps/peak/maps/verticality/blends/blend_mog_wood_01_snow_wvt_patch.vmt   (Material,  287 bytes)
materials/maps/peak/glass/ins_glass_02break_-3168_-224_112.vmt   (Material,  153 bytes)
materials/maps/peak/glass/ins_glass_02_-3168_-224_112.vmt   (Material,  197 bytes)
materials/maps/peak/maps/door/garagedoor01a_-2288_-3303_496.vmt   (Material,  131 bytes)
materials/maps/peak/maps/door/garagedoor01a_-3586_-3376_568.vmt   (Material,  131 bytes)
materials/maps/peak/maps/door/garagedoor01a_114_-342_890.vmt   (Material,  128 bytes)
materials/maps/peak/maps/door/garagedoor01a_-2356_-1743_276.vmt   (Material,  131 bytes)
materials/maps/peak/maps/door/garagedoor01a_-4459_-2732_624.vmt   (Material,  131 bytes)
materials/maps/peak/glass/ins_glass_02break_4594_1488_468.vmt   (Material,  152 bytes)
materials/maps/peak/glass/ins_glass_02_4594_1488_468.vmt   (Material,  195 bytes)
materials/maps/peak/glass/ins_glass_02break_-5856_-1696_48.vmt   (Material,  153 bytes)
materials/maps/peak/glass/ins_glass_02_-5856_-1696_48.vmt   (Material,  197 bytes)
materials/maps/peak/glass/ins_glass_02break_-6336_-446_364.vmt   (Material,  153 bytes)
materials/maps/peak/glass/ins_glass_02_-6336_-446_364.vmt   (Material,  197 bytes)
materials/maps/peak/maps/door/garagedoor01a_-5563_216_312.vmt   (Material,  129 bytes)
materials/maps/peak/maps/door/garagedoor01a_-3648_848_96.vmt   (Material,  128 bytes)
materials/maps/peak/maps/door/garagedoor01a_-6336_-446_364.vmt   (Material,  130 bytes)
materials/maps/peak/glass/ins_glass_02break_-3136_1739_208.vmt   (Material,  153 bytes)
materials/maps/peak/glass/ins_glass_02_-3136_1739_208.vmt   (Material,  197 bytes)
materials/maps/peak/maps/door/garagedoor01a_4120_3288_788.vmt   (Material,  129 bytes)
materials/maps/peak/maps/door/garagedoor01a_2344_4004_1138.vmt   (Material,  130 bytes)
materials/maps/peak/maps/door/garagedoor01a_2932_3440_840.vmt   (Material,  129 bytes)
materials/maps/peak/glass/ins_glass_02break_4120_3288_788.vmt   (Material,  152 bytes)
materials/maps/peak/glass/ins_glass_02_4120_3288_788.vmt   (Material,  195 bytes)
materials/maps/peak/glass/ins_glass_02break_5176_2328_648.vmt   (Material,  152 bytes)
materials/maps/peak/glass/ins_glass_02_5176_2328_648.vmt   (Material,  195 bytes)
materials/maps/peak/cubemapdefault.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-3168_-224_112.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-2288_-3303_496.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-3586_-3376_568.vtf   (Texture,  8440 bytes)
materials/maps/peak/c114_-342_890.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-2356_-1743_276.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-4459_-2732_624.vtf   (Texture,  8440 bytes)
materials/maps/peak/c4594_1488_468.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-5856_-1696_48.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-6336_-446_364.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-5563_216_312.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-3648_848_96.vtf   (Texture,  8440 bytes)
materials/maps/peak/c-3136_1739_208.vtf   (Texture,  8440 bytes)
