// Dump of all classes for "insurgency" as at 2017/06/10
//

CFireSmoke - _firesmoke
CPlasma - _plasma
CBaseEntity - ai_sound
CBaseEntity - ambient_generic
CINSBaseVehicle - base_vehicle
CBaseAnimating - baseprojectile
CBeam - beam
CBeamSpotlight - beam_spotlight
CColorCorrection - color_correction
CColorCorrectionVolume - color_correction_volume
CBaseFlex - cycler_flex
CDynamicProp - dynamic_prop
CBaseEntity - entity_blocker
CEntityFlame - entityflame
CEnvAmbientLight - env_ambient_light
CBeam - env_beam
CBaseEntity - env_beverage
CBaseEntity - env_blood
CBaseEntity - env_bubbles
CCascadeLight - env_cascade_light
CBaseEntity - env_credits
CBaseEntity - env_debughistory
CEnvDetailController - env_detail_controller
CEnvDOFController - env_dof_controller
CBaseEntity - env_dustpuff
DustTrail - env_dusttrail
CBaseAnimating - env_effectscript
CEmbers - env_embers
CEntityDissolve - env_entity_dissolver
CEntityFreezing - env_entity_freezing
CBaseEntity - env_entity_igniter
CBaseEntity - env_entity_maker
CBaseEntity - env_explosion
CBaseEntity - env_explosion_ins
CBaseEntity - env_fade
CBaseEntity - env_fire
CFireTrail - env_fire_trail
CBaseEntity - env_firesensor
CBaseEntity - env_firesource
CFogController - env_fog_controller
CBaseEntity - env_funnel
CBaseEntity - env_global
CSprite - env_glow
CBaseEntity - env_gunfire
CBaseEntity - env_hudhint
CBaseEntity - env_instructor_hint
CBeam - env_laser
CLightGlow - env_lightglow
CBaseEntity - env_message
CBaseEntity - env_microphone
MovieExplosion - env_movieexplosion
CBaseEntity - env_muzzleflash
CBaseEntity - env_outtro_stats
CParticlePerformanceMonitor - env_particle_performance_monitor
CEntityParticleTrail - env_particle_trail
CParticleFire - env_particlefire
CBaseEntity - env_particlelight
CEnvParticleScript - env_particlescript
ParticleSmokeGrenade - env_particlesmokegrenade
CBaseEntity - env_physexplosion
CBaseEntity - env_physimpact
CBaseEntity - env_physwire
CBaseEntity - env_player_surface_trigger
CEnvProjectedTexture - env_projectedtexture
CEnvQuadraticBeam - env_quadraticbeam
CBaseEntity - env_ragdoll_boogie
RocketTrail - env_rockettrail
CBaseEntity - env_rotorshooter
CEnvScreenEffect - env_screeneffect
CEnvScreenOverlay - env_screenoverlay
CBaseEntity - env_shake
CBaseEntity - env_shooter
CSmokeStack - env_smokestack
SmokeTrail - env_smoketrail
CBaseEntity - env_soundscape
CBaseEntity - env_soundscape_proxy
CBaseEntity - env_soundscape_triggerable
CBaseEntity - env_spark
CBaseEntity - env_splash
SporeExplosion - env_sporeexplosion
SporeTrail - env_sporetrail
CSprite - env_sprite
CSprite - env_sprite_clientside
CSpriteOriented - env_sprite_oriented
CSpriteTrail - env_spritetrail
CSteamJet - env_steam
CSteamJet - env_steamjet
CSun - env_sun
CBaseEntity - env_texturetoggle
CBaseEntity - env_tilt
CEnvTonemapController - env_tonemap_controller
CBaseEntity - env_tracer
CBaseEntity - env_viewpunch
CEnvWind - env_wind
CBaseEntity - env_zoom
CBaseEntity - event_queue_saveload_proxy
CBaseEntity - filter_activator_class
CBaseEntity - filter_activator_context
CBaseEntity - filter_activator_mass_greater
CBaseEntity - filter_activator_model
CBaseEntity - filter_activator_name
CBaseEntity - filter_activator_team
CBaseEntity - filter_base
CBaseEntity - filter_damage_type
CBaseEntity - filter_multi
CFish - fish
CBaseEntity - fog_volume
CBaseEntity - func_areaportal
CFuncAreaPortalWindow - func_areaportalwindow
CBreakable - func_breakable
CBreakableSurface - func_breakable_surf
CFuncBrush - func_brush
CBaseButton - func_button
CButtonTimed - func_button_timed
CBaseTrigger - func_buyzone
CBaseEntity - func_clip_vphysics
CFuncConveyor - func_conveyor
CBaseTrigger - func_datazone
CBaseEntity - func_detail_blocker
CBaseDoor - func_door
CBaseDoor - func_door_rotating
CFunc_Dust - func_dustcloud
CFunc_Dust - func_dustmotes
CFuncElevator - func_elevator
CBaseEntity - func_fish_pool
CBaseToggle - func_guntarget
CBaseEntity - func_illusionary
CBaseEntity - func_instance_io_proxy
CBaseEntity - func_ladderendpoint
CFunc_LOD - func_lod
CFuncMonitor - func_monitor
CFuncMoveLinear - func_movelinear
CBa
