// Dump of all classes for "insurgency" as at 21/01/2016
//

CFireSmoke - _firesmoke
CPlasma - _plasma
CBaseEntity - ai_sound
CBaseEntity - ambient_generic
CINSBaseVehicle - base_vehicle
CBaseAnimating - baseprojectile
CBeam - beam
CBeamSpotlight - beam_spotlight
CColorCorrection - color_correction
CColorCorrectionVolume - color_correction_volume
CBaseFlex - cycler_flex
CDynamicProp - dynamic_prop
CBaseEntity - entity_blocker
CEntityFlame - entityflame
CEnvAmbientLight - env_ambient_light
CBeam - env_beam
CBaseEntity - env_beverage
CBaseEntity - env_blood
CBaseEntity - env_bubbles
CCascadeLight - env_cascade_light
CBaseEntity - env_credits
CBaseEntity - env_debughistory
CEnvDetailController - env_detail_controller
CEnvDOFController - env_dof_controller
CBaseEntity - env_dustpuff
DustTrail - env_dusttrail
CBaseAnimating - env_effectscript
CEmbers - env_embers
CEntityDissolve - env_entity_dissolver
CEntityFreezing - env_entity_freezing
CBaseEntity - env_entity_igniter
CBaseEntity - env_entity_maker
CBaseEntity - env_explosion
CBaseEntity - env_fade
CBaseEntity - env_fire
CFireTrail - env_fire_trail
CBaseEntity - env_firesensor
CBaseEntity - env_firesource
CFogController - env_fog_controller
CBaseEntity - env_funnel
CBaseEntity - env_global
CSprite - env_glow
CBaseEntity - env_gunfire
CBaseEntity - env_hudhint
CBaseEntity - env_instructor_hint
CBeam - env_laser
CLightGlow - env_lightglow
CBaseEntity - env_message
CBaseEntity - env_microphone
MovieExplosion - env_movieexplosion
CBaseEntity - env_muzzleflash
CBaseEntity - env_outtro_stats
CParticlePerformanceMonitor - env_particle_performance_monitor
CEntityParticleTrail - env_particle_trail
CParticleFire - env_particlefire
CBaseEntity - env_particlelight
CEnvParticleScript - env_particlescript
ParticleSmokeGrenade - env_particlesmokegrenade
CBaseEntity - env_physexplosion
CBaseEntity - env_physimpact
CBaseEntity - env_physwire
CBaseEntity - env_player_surface_trigger
CEnvProjectedTexture - env_projectedtexture
CEnvQuadraticBeam - env_quadraticbeam
CBaseEntity - env_ragdoll_boogie
RocketTrail - env_rockettrail
CBaseEntity - env_rotorshooter
CEnvScreenEffect - env_screeneffect
CEnvScreenOverlay - env_screenoverlay
CBaseEntity - env_shake
CBaseEntity - env_shooter
CSmokeStack - env_smokestack
SmokeTrail - env_smoketrail
CBaseEntity - env_soundscape
CBaseEntity - env_soundscape_proxy
CBaseEntity - env_soundscape_triggerable
CBaseEntity - env_spark
CBaseEntity - env_splash
SporeExplosion - env_sporeexplosion
SporeTrail - env_sporetrail
CSprite - env_sprite
CSprite - env_sprite_clientside
