"sec_flashlight_rail" "siderail_flashlight_rail"
"sec_flashlight_band" "siderail_flashlight_band"
"ins_flashlight_band" "siderail_flashlight_band"
"sec_flashlight_shotgun" "siderail_flashlight_shotgun"
"ins_flashlight_shotgun" "siderail_flashlight_shotgun"
"sec_flashlight_pistol" "siderail_flashlight_pistol"
"ins_flashlight_pistol" "siderail_flashlight_pistol"
"heavybarrel" "barrel_heavybarrel"
"optic_2xaimpoint_sec" "optic_2xaimpoint"
"optic_2xaimpoint_ins" "optic_2xaimpoint"
"ins_foregrip1" "underbarrel_foregrip_ins1"
"ins_foregrip2" "underbarrel_foregrip_ins2"
"ins_woodgrip" "underbarrel_woodgrip"
"sec_foregrip" "underbarrel_foregrip_sec1"
"sec_foregrip2" "underbarrel_foregrip_sec2"
"sec_silencer" "barrel_silencer_sec1"
"sec_silencer2" "barrel_silencer_sec2"
"ins_silencer" "barrel_silencer_ins1"
"sec_silencer_pistol" "barrel_silencer_pistol"
"ins_silencer_pistol" "barrel_silencer_pistol"
"sec_silencer_heavy" "barrel_silencer_heavy"
"ins_silencer_heavy" "barrel_silencer_heavy"
"sec_lasersight_rail" "siderail_lasersight_rail"
"sec_lasersight_band" "siderail_lasersight_band"
"ins_lasersight_band" "siderail_lasersight_band"
"sec_lasersight_shotgun" "siderail_lasersight_shotgun_sec"
"ins_lasersight_shotgun" "siderail_lasersight_shotgun_ins"
"sec_lasersight_pistol" "siderail_lasersight_pistol"
"ins_lasersight_pistol" "siderail_lasersight_pistol"
"sec_bipod" "underbarrel_bipod"
"ins_bipod" "underbarrel_bipod"
